"p_value","BMA","BMA2","DFM2","LAS","LAS2","RDF","RDF2","RDG","RDG2","DFM","ARM","OLS","MAG","MAG2","RWM","ESMB"
"BMA",NA,0.506856506875172,0.966376734407531,0.856264874915143,0.144837925509131,0.768929692525077,0.904280226626181,0.407861592331502,0.150419163514436,0.899177965621468,0.840198592157967,0.0280831753067679,0.767744076459904,0.632192998876144,0.441636477368415,0.149572154095977
"BMA2",0.506856506875172,NA,0.376406736893471,0.546788892585638,0.585477643927483,0.724180019336276,0.618163790812323,0.772543579557805,0.0726176930443914,0.370932996499193,0.364967147084272,0.0108500835000918,0.333768800964862,0.268675814740015,0.195214093319508,0.869623314390724
"DFM2",0.966376734407531,0.37640673689347,NA,0.961139147680643,0.133986242451005,0.844176048990444,0.911497660843576,0.312538831324648,0.0326129937237458,0.692311401143048,0.724534014452074,0.0186037026354699,0.590956112525069,0.380953199173717,0.24600375252944,0.0357677912559677
"LAS",0.856264874915143,0.546788892585638,0.961139147680643,NA,0.137549508266063,0.673337166808815,0.831021237174082,0.462963309038474,0.207731008097796,0.982971532654162,0.927847040634898,0.0201537107566916,0.869266145702835,0.749881997991557,0.555736990534593,0.249091851340632
"LAS2",0.14483792550913,0.585477643927483,0.133986242451005,0.137549508266063,NA,0.377770208574801,0.297799583271466,0.279061974862765,0.470811752120091,0.151388945474982,0.165602654715883,0.00192484677801008,0.150320707280815,0.121433131032867,0.116398837317029,0.564673620469394
"RDF",0.768929692525077,0.724180019336276,0.844176048990444,0.673337166808815,0.377770208574801,NA,0.823562826202951,0.78297752344731,0.310696844676612,0.802884579197774,0.764788314154031,0.0326429138493246,0.711388831845179,0.611604294795147,0.462164948238011,0.498484079715505
"RDF2",0.904280226626181,0.618163790812323,0.911497660843576,0.831021237174082,0.297799583271466,0.823562826202951,NA,0.666153307810898,0.21316718899515,0.863274582029598,0.820118228365802,0.0347496807916002,0.7630200959774,0.653137246837501,0.485072870975929,0.358203587751227
"RDG",0.407861592331502,0.772543579557805,0.312538831324648,0.462963309038474,0.279061974862765,0.78297752344731,0.666153307810898,NA,0.18396009816043,0.272262340793203,0.300192653043402,0.00585399027853113,0.229956863390912,0.15437891918265,0.162584583718522,0.105675759711602
"RDG2",0.150419163514436,0.0726176930443914,0.0326129937237458,0.207731008097796,0.470811752120091,0.310696844676612,0.21316718899515,0.18396009816043,NA,0.0456737328279614,0.0563747780525592,0.0030978431610711,0.0572237101249569,0.0463695035668513,0.0399699334902444,0.269648349307779
"DFM",0.899177965621468,0.370932996499193,0.692311401143048,0.982971532654162,0.151388945474982,0.802884579197774,0.863274582029598,0.272262340793203,0.0456737328279613,NA,0.776000443292893,0.0239611755890957,0.5635211035394,0.280589392125827,0.187486897944414,0.0496249494242584
"ARM",0.840198592157967,0.364967147084272,0.724534014452074,0.927847040634898,0.165602654715883,0.764788314154031,0.820118228365802,0.300192653043402,0.0563747780525592,0.776000443292893,NA,0.0328180960980818,0.297020166355376,0.0220547195226487,0.108450442478841,0.0890858553345799
"OLS",0.0280831753067678,0.0108500835000918,0.01860370263547,0.0201537107566916,0.00192484677801019,0.0326429138493247,0.0347496807916001,0.00585399027853128,0.00309784316107109,0.0239611755890956,0.0328180960980817,NA,0.0351221670405311,0.0483310943421351,0.153973159284619,0.00225922964423297
"MAG",0.767744076459904,0.333768800964862,0.590956112525069,0.869266145702835,0.150320707280815,0.711388831845179,0.7630200959774,0.229956863390912,0.0572237101249569,0.563521103539399,0.297020166355376,0.035122167040531,NA,0.00152196471645152,0.149527429474999,0.064064139539199
"MAG2",0.632192998876144,0.268675814740015,0.380953199173717,0.749881997991557,0.121433131032867,0.611604294795147,0.653137246837501,0.15437891918265,0.0463695035668512,0.280589392125827,0.0220547195226488,0.0483310943421353,0.0015219647164515,NA,0.263681279302958,0.0436062991012136
"RWM",0.441636477368415,0.195214093319508,0.24600375252944,0.555736990534593,0.116398837317029,0.462164948238011,0.485072870975929,0.162584583718522,0.0399699334902444,0.187486897944414,0.108450442478841,0.153973159284619,0.149527429474999,0.263681279302958,NA,0.0737453004408972
"ESMB",0.149572154095977,0.869623314390724,0.0357677912559677,0.249091851340632,0.564673620469394,0.498484079715505,0.358203587751227,0.105675759711602,0.269648349307779,0.0496249494242583,0.08908585533458,0.00225922964423307,0.0640641395391989,0.0436062991012135,0.0737453004408972,NA
