"p_value","BMA","BMA2","DFM2","LAS","LAS2","RDF","RDF2","RDG","RDG2","DFM","ARM","OLS","MAG","MAG2","RWM","ESMB"
"BMA",NA,0.478587614762205,0.793711904395996,0.139848571380699,0.0292773531071318,0.439280058302338,0.164690977851548,0.00524752532955519,0.00928397623652621,0.283443800232135,0.153581944347753,0.243556579473072,0.201407681853625,0.318621567869134,0.61732629993673,0.00413451514367447
"BMA2",0.478587614762205,NA,0.385585738083671,0.87923276842436,0.339704191336695,0.261079418952415,0.412445452928057,0.228703143994116,0.018654797063296,0.800057357640595,0.574633250354358,0.235039597493139,0.678260069044872,0.856497902885588,0.906698133572596,0.101601919283598
"DFM2",0.793711904395996,0.385585738083671,NA,0.324931559383797,0.116917458032513,0.60849978854719,0.0992141424704336,0.0266484039826458,0.0047870788824107,0.0528182417489222,0.0702376576400547,0.247798047997499,0.0885081579545637,0.16271961157139,0.381150504225194,0.00979260708199314
"LAS",0.139848571380699,0.87923276842436,0.324931559383797,NA,0.298222276682705,0.192566510259381,0.576576191780114,0.139894794434777,0.0938174035814081,0.912206028742271,0.634883460196663,0.233438376713523,0.752091164284481,0.959576827107877,0.804397192482235,0.113223435937524
"LAS2",0.0292773531071318,0.339704191336695,0.116917458032513,0.298222276682705,NA,0.105438720411597,0.86940452386483,0.968659380259466,0.257899330661546,0.465496524298824,0.683471955268551,0.222027525562738,0.588281652583684,0.469126188809826,0.423607052803573,0.760821677290156
"RDF",0.439280058302338,0.261079418952415,0.60849978854719,0.192566510259381,0.105438720411597,NA,0.0827011451875275,0.041184155205759,0.0217927181649142,0.189713553901194,0.159424543738143,0.25844643644665,0.17983422446378,0.222666911418344,0.369821405384165,0.0316908477431705
"RDF2",0.164690977851548,0.412445452928057,0.0992141424704334,0.576576191780114,0.86940452386483,0.0827011451875276,NA,0.778864297302603,0.106798580155436,0.513316557091181,0.798254111266703,0.2256879710125,0.678234604868801,0.51717702097575,0.418198149763396,0.544690285771141
"RDG",0.00524752532955535,0.228703143994116,0.0266484039826457,0.139894794434777,0.968659380259466,0.041184155205759,0.778864297302603,NA,0.200350273725035,0.118429740401506,0.414048030524082,0.223035896613781,0.27342908582243,0.14992743524718,0.208809920443524,0.50136124368696
"RDG2",0.00928397623652619,0.018654797063296,0.00478707888241079,0.0938174035814081,0.257899330661546,0.0217927181649141,0.106798580155436,0.200350273725035,NA,0.030575766800621,0.0914319092260321,0.211429068735866,0.0766048870608374,0.0527049386855171,0.0583580410152248,0.22105085022791
"DFM",0.283443800232135,0.800057357640595,0.0528182417489222,0.912206028742271,0.465496524298824,0.189713553901194,0.513316557091181,0.118429740401506,0.030575766800621,NA,0.326374844287946,0.23241025807888,0.560410507425924,0.881463012747515,0.541314772064343,0.037145918503078
"ARM",0.153581944347753,0.574633250354358,0.0702376576400548,0.634883460196663,0.68347195526855,0.159424543738143,0.798254111266703,0.414048030524082,0.0914319092260323,0.326374844287946,NA,0.228562037513847,0.0752345444702078,0.00214718560057059,0.127255713020879,0.223146074937455
"OLS",0.243556579473072,0.235039597493139,0.247798047997499,0.233438376713523,0.222027525562738,0.25844643644665,0.2256879710125,0.223035896613781,0.211429068735866,0.23241025807888,0.228562037513847,NA,0.230308679152409,0.233000219822124,0.236976473934475,0.218363728391238
"MAG",0.201407681853625,0.678260069044872,0.0885081579545636,0.752091164284481,0.588281652583684,0.17983422446378,0.678234604868801,0.27342908582243,0.0766048870608373,0.560410507425924,0.0752345444702078,0.230308679152409,NA,0.00213252674715274,0.219646302446318,0.13353034752475
"MAG2",0.318621567869134,0.856497902885588,0.16271961157139,0.959576827107877,0.469126188809826,0.222666911418344,0.51717702097575,0.14992743524718,0.0527049386855172,0.881463012747515,0.00214718560057059,0.233000219822124,0.00213252674715259,NA,0.457204903077182,0.06807416182479
"RWM",0.61732629993673,0.906698133572596,0.381150504225194,0.804397192482235,0.423607052803573,0.369821405384165,0.418198149763396,0.208809920443524,0.0583580410152247,0.541314772064343,0.127255713020879,0.236976473934475,0.219646302446318,0.457204903077182,NA,0.125802434072966
"ESMB",0.00413451514367461,0.101601919283598,0.00979260708199313,0.113223435937524,0.760821677290156,0.0316908477431705,0.544690285771141,0.50136124368696,0.22105085022791,0.037145918503078,0.223146074937455,0.218363728391238,0.13353034752475,0.06807416182479,0.125802434072966,NA
