"Models","Year277","Year349","Year469"
"BMA",1.6210015748879856,1.642974281666848,1.8262584483954618
"LAS",1.3984158979070032,1.4649439471552212,1.6338677695113695
"LAS2",1.3941306204582227,1.4588814034284956,1.6039849794883267
"LAS3",1.6322494497751567,1.5964492563400219,1.742751493176194
"RDG",1.3479656683209609,1.3983934603046602,1.5858412531835155
"RDG2",1.2866864332626584,1.3236896201025534,1.493219673771818
"RFM",1.6026913067256972,1.5140281987512376,1.6819209140883438
"ARM",1.3868830170679503,1.4260732709998054,1.639560143491096
"OLS",2.0601237186736356,2.0973327126272086,1.9868037069401967
"MAG",1.4189387846562629,1.4430550102656714,1.65872766867928
"DFM",1.3882230535117392,1.4207888940062345,1.612298421258794
"ESMB",1.3058004939727983,1.352734590101607,1.5418425105186913
