Models,h6 J301,h6 J373,h6 J493
BMA,1.5693076316832408,1.5302565067781724,1.6952791716529392
BMA2,1.529292188390541,1.5602197415314691,1.5675515908310784
LAS,1.3866514369984033,1.4450021808894895,1.6321043610656911
LAS2,1.4500527035632396,1.5581394348491828,1.535614292073737
RDG,1.3483614185326054,1.398663277202976,1.5888043196500925
RDG2,1.2866864332626586,1.311174420076704,1.490436515059034
RDF,1.6026913067256972,1.5140281987512376,1.6819209140883442
RDF2,1.4040784705563047,1.436916648619673,1.6277442351597644
ARM,1.3868830170679503,1.4260732709998054,1.639560143491096
OLS,2.0601237186736356,2.0973327126272086,1.9868037069401967
MAG,1.3954099941491198,1.4342978895887304,1.6481128432965477
MAG2,1.4147392333794553,1.4501811054303144,1.6672360725546103
DFM,1.3882230535117392,1.4207888940062348,1.612298421258794
DFM2,1.5301617411616069,1.4444050484605893,1.629818978717685
RWM,1.4246536881727354,1.4636897132172093,1.7031197293597151
ESMB,1.3496463787455575,1.3881859471427709,1.5762625681618683
