REAL,DFM,ARM,OLS,MAG,MAG2,RWM
2.628205128,1.777571413,1.733214149,2.223524246,1.753168769,1.688243479,1.356946992
2.90907301,1.87438005,1.771110782,2.051253864,1.791967498,1.732024709,1.399906494
3.065716703,2.282757707,2.134917532,1.777531109,2.166175448,2.131264632,1.822851103
2.55396256,2.264279864,2.089029095,1.744683231,2.119828548,2.079706329,1.769205346
2.532141066,2.36817616,2.165422731,1.668672418,2.199870466,2.167849631,1.858302115
2.696733414,2.595200724,2.291232826,0.761452683,2.345624546,2.314560179,2.004599056
2.603849804,2.770640718,2.385549008,1.655490573,2.438556897,2.414124899,2.114154037
1.935836012,3.392335291,2.685341398,2.324810349,2.756099414,2.743168365,2.464730448
1.949345991,3.586527795,2.999611612,1.727462903,3.073673701,3.077022134,2.83334141
2.412959381,2.959702471,2.517239238,2.72717572,2.564750564,2.550048044,2.266426036
2.527058369,2.953216837,2.550133187,2.516762057,2.607691553,2.588155594,2.305190096
2.123868233,3.263100295,2.818880591,2.664473243,2.895967102,2.885811094,2.621296677
2.534351879,3.200612042,2.798829395,2.766768068,2.851332981,2.853993829,2.598024881
2.837475824,2.91182118,2.629614573,2.749226873,2.660736076,2.661670707,2.400308146
1.96880532,3.004593022,2.700023348,3.384794625,2.745088318,2.742526318,2.484407504
2.068850188,2.962062663,2.679654914,3.377509274,2.708717672,2.715993444,2.461104305
2.347608255,2.988584649,2.71936032,3.914027779,2.742527391,2.749266802,2.508291651
2.468488646,2.836517982,2.614592017,5.553319768,2.629150093,2.636044515,2.3862933
1.513444272,2.912499297,2.750936625,5.109094114,2.761407423,2.785566029,2.547148087
1.236615181,2.587110521,2.593867686,3.943749664,2.604539019,2.616052536,2.3628381
0.575645232,2.227467941,2.224311719,4.891992431,2.241744103,2.223056875,1.930064872
0.931618273,2.482404123,2.465047039,3.872025744,2.475716481,2.481097737,2.213980623
0.252316834,2.678391365,2.633374807,3.485745814,2.661030312,2.668474972,2.412437397
-0.331866218,2.535074951,2.511269879,4.029230256,2.535428583,2.533295135,2.269727941
-0.131843812,2.264239369,2.272862222,4.133926858,2.305945901,2.280249407,1.991835198
0.209544887,2.271261169,2.27947689,4.015011269,2.322753274,2.29064395,2.001894288
1.42199126,1.608991417,1.616139886,2.031225151,1.637750192,1.562217019,1.228409774
1.558050319,1.739597241,1.807655437,2.507398061,1.824231055,1.773188476,1.455833039
1.855842489,1.523623047,1.626146695,2.294312929,1.620448387,1.572288527,1.24789654
2.322209518,1.29013298,1.415363085,1.940905451,1.404771683,1.345228115,1.007520343
2.598565253,0.961848494,1.084062931,1.578635853,1.079194029,0.986981829,0.627336914
2.648321279,0.987513597,1.105081914,1.662124885,1.097706028,1.008480797,0.657216763
2.42987147,1.251068437,1.342638173,1.381534777,1.339016047,1.268462741,0.934779601
1.93601121,1.485406776,1.554658257,1.595946851,1.555078864,1.499944528,1.182615231
1.974121738,1.318733118,1.389584679,2.023525966,1.374851676,1.319362583,0.990635573
1.880724324,1.273835652,1.340336745,1.961824978,1.330492161,1.269799579,0.931250414
1.993115959,1.518133828,1.552621491,1.430167717,1.553465814,1.502180616,1.174411131
2.432655146,1.702876981,1.72873676,2.142312256,1.74073822,1.696639616,1.376145715
2.57913519,2.10913208,2.16425575,2.916142658,2.177159953,2.171806296,1.883320188
1.855000058,2.016088114,2.011609974,2.971694302,2.035327299,2.006197824,1.70477678
1.421061753,2.200743354,2.1585627,2.526878134,2.214955584,2.17273746,1.876249347
1.477633478,2.395950442,2.321171877,1.782109157,2.379685685,2.349073334,2.066327658
1.494479177,2.615025612,2.490227216,1.725510874,2.555224986,2.535232289,2.264309468
1.30491119,2.89614546,2.703754137,1.885799144,2.780988177,2.771679918,2.514159659
1.384106794,2.87232457,2.673764865,1.462585742,2.724022596,2.731868972,2.479075245
1.666074641,2.263946117,2.148075932,1.852543663,2.19680615,2.162905628,1.863663722
2.108523575,2.052702441,1.975245018,1.990947918,2.02079952,1.972993915,1.662887362
2.339998854,2.02301846,1.956936491,1.754493357,2.008676749,1.954567638,1.643259407
2.523370894,2.064241389,2.009715248,2.050644004,2.055791428,2.010482083,1.706885046
2.362778828,2.159476868,2.113233851,1.650803982,2.16474799,2.124243297,1.830029226
2.142548792,2.239156753,2.207195398,1.334926135,2.265684559,2.228359127,1.941756562
2.556876293,2.034342421,2.015642824,1.424577679,2.085198108,2.021764679,1.71911019
3.035566302,2.04089223,2.019547232,1.28085213,2.08972533,2.028638142,1.723999559
3.237206352,2.168616995,2.144956468,1.676279907,2.214422894,2.164522998,1.870521484
2.771821321,2.253498382,2.232789878,2.135308846,2.275993864,2.250780371,1.972980107
2.461295952,2.085611637,2.08238379,2.346961939,2.113355774,2.085091333,1.797194492
2.504243051,2.016751104,2.021654132,3.486206004,2.079034297,2.025562898,1.726757048
2.933025145,2.331759157,2.323578915,3.457758974,2.38920258,2.354045885,2.079723682
2.925323731,2.752819177,2.724349496,3.543185166,2.810749925,2.795567301,2.548122274
2.40316558,2.95372357,2.914413664,3.437561199,2.995843155,2.998273742,2.770191312
2.270855133,2.833455435,2.79414458,3.171231767,2.872820299,2.866418948,2.629227931
2.696089336,2.628972224,2.591644552,2.973917678,2.658896521,2.643797153,2.3919591
2.906208719,2.558430941,2.516357757,3.201247915,2.576702504,2.559520105,2.303639095
2.709277895,2.951063972,2.88175615,3.093872919,2.940694703,2.950608229,2.732115289
2.213062358,3.165396683,3.085838454,2.807532719,3.134615802,3.161199686,2.971753214
2.200610179,3.010511801,2.945805864,2.948861649,2.988264552,3.010160047,2.808043579
2.921170229,2.72371677,2.686703752,3.423261873,2.735890655,2.734245055,2.504805171
3.167251975,2.784436431,2.736571771,3.723835686,2.787960395,2.787399594,2.563576287
4.521183473,2.905842782,2.846708655,3.599452249,2.89931912,2.90478191,2.692833852
4.231083956,3.011130995,2.946585523,3.353088703,2.99549896,3.01147779,2.810386503
3.581939872,2.764050285,2.726826581,3.754186519,2.739900792,2.757283875,2.553338813
3.503573296,2.522841538,2.494727595,4.254848573,2.502880322,2.507039187,2.281945868
3.536520541,2.786520855,2.748968731,4.515526171,2.762684857,2.781663679,2.580204752
2.785130128,3.085008917,3.040179179,4.605779786,3.062479644,3.095964643,2.921741885
1.174859295,3.803127932,3.719844154,4.137863166,3.744580628,3.821355802,3.718636494
1.71805885,3.583507945,3.511208851,4.051575433,3.510992795,3.585448963,3.473537093
2.630085349,3.056639909,3.017660449,4.49105511,2.994177692,3.050287427,2.893891947
3.066381156,3.024050071,2.980713831,5.050196234,2.97470763,3.019940219,2.850159508
2.890918975,3.373633298,3.308492242,4.545680194,3.31449269,3.376274631,3.235192949
3.441588885,3.139037447,3.089774202,3.706967137,3.087525246,3.138401869,2.978493872
2.606188901,2.98800612,2.968598466,2.864553412,2.948129196,3.000566759,2.836902234
1.230958283,3.089802659,3.077094482,3.022969559,3.061980927,3.114553163,2.965152574
0.835015696,3.20788553,3.192786165,2.791464159,3.198697326,3.246842908,3.101501454
1.18314493,3.362241092,3.348103176,2.424094215,3.357637843,3.413612061,3.284176404
1.097018925,3.295297549,3.285582593,2.719486625,3.293853582,3.346020219,3.211012429
1.127091037,3.208248077,3.19949707,3.352314233,3.204433662,3.251210407,3.109907158
2.326948925,2.142708775,2.144055878,3.764716607,2.136580599,2.123903816,1.870353067
3.259667927,1.782801979,1.783746222,4.813092393,1.786842146,1.7416267,1.448851285
3.776683087,1.998589491,1.998635342,4.835486689,2.016478732,1.97699987,1.703032579
3.362930194,2.327436726,2.331565221,4.704545384,2.353103809,2.33667893,2.095072508
3.03483159,2.216909835,2.214708968,4.32166888,2.239857081,2.213767841,1.959373994
2.541534295,2.460706717,2.45960228,4.631883724,2.497798423,2.480327815,2.248000218
2.617811916,2.61488268,2.620177249,4.591491721,2.661499817,2.656045426,2.43653924
2.809576595,2.428987826,2.431162604,4.785011421,2.474851717,2.453767257,2.213400992
3.254199467,2.483242346,2.485469093,4.289736555,2.531430643,2.513193083,2.275485499
3.383609802,2.457301992,2.461790225,4.28263466,2.511236517,2.489602595,2.246983845
3.609186646,2.283764038,2.286361131,4.10364886,2.34259118,2.303473189,2.040139546
3.877603497,2.090300104,2.088676586,3.451603782,2.143611673,2.091247877,1.807862673
3.719224188,2.624917189,2.637834978,3.097472322,2.707548185,2.684729785,2.454297145
3.618605887,3.09322357,3.122986914,2.191385126,3.194600554,3.208517772,3.025240325
3.492828317,3.489815704,3.539638455,2.083271788,3.617205883,3.655251661,3.515598392
4.355319451,3.375527324,3.418643968,0.964455743,3.485442127,3.516589613,3.373133571
4.699981799,3.322508191,3.376729422,1.722090964,3.445629203,3.468280488,3.323546983
4.086368681,3.229379579,3.282525778,1.521635914,3.346144182,3.365844914,3.211966084
3.661382474,3.192241891,3.249524637,2.499367611,3.310820082,3.326251669,3.172806387
2.067152347,3.235193195,3.289931676,2.39698942,3.345256341,3.368036695,3.220468317
-1.091007183,3.36365073,3.427435221,2.75395144,3.488309198,3.517319641,3.382830343
-3.530252218,3.789437351,3.856338026,3.383189656,3.931574563,3.979291625,3.88889565
-4.248256239,4.058781509,4.104801263,3.675490495,4.181841226,4.240291663,4.181952155
-3.660453849,3.929470816,3.957589474,3.971136007,4.020992259,4.067049087,4.008059886
-4.036113635,3.688034338,3.7065461,4.202756137,3.766576415,3.791768434,3.711640169
-2.669738985,2.957796024,2.973673013,4.012305746,3.006530639,2.994303023,2.846873329
-0.142649053,1.578822336,1.55033709,3.153675054,1.541898107,1.463683181,1.168969705
2.141262739,0.970740129,0.846590783,2.465597097,0.820445168,0.716247184,0.338941986
1.921912222,0.890171187,0.668604439,1.086264034,0.630926741,0.534882,0.126367223
2.022480964,0.942679833,0.657744451,0.140817543,0.610631065,0.52250695,0.112914462
2.542518121,0.732111703,0.30695788,-0.625477813,0.258270316,0.161180655,-0.300116669
2.866921683,0.675308572,0.215567782,-0.073774128,0.166330528,0.069525085,-0.400206658
3.062106681,0.439023904,-0.047099642,0.047914302,-0.112025546,-0.202957007,-0.703683112
1.968680984,0.346133674,-0.121540233,0.368480145,-0.185649762,-0.275874874,-0.797483044
2.427514497,-0.046443385,-0.511153779,0.591360722,-0.573873425,-0.670764712,-1.264567201
1.91448628,0.17387246,-0.210397362,0.797444406,-0.264465191,-0.34908896,-0.915210062
1.809783583,0.204741165,-0.141200317,1.445056043,-0.18471143,-0.271649875,-0.845355008
1.161128975,0.832264347,0.590011749,1.624614265,0.563191467,0.500114293,0.012052163
0.782201452,1.651312804,1.759158874,1.019049663,1.718881243,1.721724489,1.397549391
0.781775719,1.877319859,2.272945016,0.372250746,2.228190455,2.259068905,2.009041229
0.661832981,1.887954676,2.383706408,0.024158804,2.326730318,2.372243149,2.136071723
0.918536662,1.796066052,2.218556798,0.613858354,2.169753001,2.208887608,1.932560163
0.876059312,1.860900661,2.397895054,0.034430777,2.341525046,2.401030797,2.146452623
1.373471865,1.719818177,2.263235364,-0.72879542,2.201490907,2.260870101,1.983023462
1.615512072,1.706528824,2.182971201,-0.258166801,2.13684283,2.181118979,1.887754371
1.987244571,1.471467498,1.726493905,0.170574457,1.692190632,1.705507013,1.336616117
2.197520897,1.611000099,1.862198773,0.629602976,1.825617507,1.847454106,1.50376433
2.463795188,1.565516506,1.753342456,1.131089949,1.732280065,1.738274896,1.374296304
3.043012759,1.486288988,1.688423304,1.367285933,1.667685999,1.670333666,1.298175843
3.455338331,1.370222889,1.623643049,0.805092125,1.592639259,1.600393929,1.221584413
3.78237176,1.361207848,1.564865499,0.762273351,1.536550425,1.539349607,1.15187836
3.365379923,1.425861672,1.719856639,1.046670889,1.684206742,1.699454691,1.339342866
3.301358524,1.455869675,1.757974719,2.052925378,1.738773079,1.743180013,1.385411414
3.208826214,1.562437938,1.977818537,2.210192158,1.95572286,1.973802245,1.650716197
2.76907001,1.683556075,2.20396133,1.834705977,2.172090389,2.207770303,1.922954053
2.009479038,2.016446879,2.588103123,1.794717696,2.551868564,2.60785439,2.386674299
1.64195729,2.220863148,2.830325343,1.629431015,2.793181253,2.859345888,2.678910733
1.610689294,2.212049013,2.816349511,2.4573747,2.798952578,2.851006957,2.661012539
1.810691703,2.307686322,2.880803268,2.599697228,2.877725418,2.923049821,2.738657047
1.800837332,2.434668062,2.955883448,2.322259018,2.947030882,2.995394528,2.829665399
1.941080478,2.540318501,3.015219577,1.693698782,2.990540988,3.048786368,2.902045566
2.082955813,2.508716814,2.868574626,2.164051925,2.847285044,2.89159464,2.724069729
1.65525386,2.528543017,2.848295861,2.447585194,2.829249028,2.869423271,2.700297014
1.573063665,2.463098193,2.660397489,2.217091778,2.646925549,2.67264493,2.472485282
