Y,DY1,DY2,DY3,DY4,DY5,DY6,DY7,DY8,DY9,DY10
-0.873513443,-0.112653725,-2.337544896,0.402812833,-2.243566096,-0.127699563,-1.077057435,1.778443092,1.317251748,-2.962067813,-3.373052576
-0.017507442,0.200351539,-3.506350599,-0.942301705,-1.558400307,3.841459724,-0.27799333,3.708722298,0.785326535,-0.796464742,-1.629423828
-0.148708076,2.279887646,-3.754062341,-0.077149216,-3.363516405,0.379723167,-1.106045065,1.165471125,1.822495655,0.677990113,0.488124556
0.057794645,5.134849416,-2.130410859,-0.048130801,-2.874037021,-1.519650551,-1.975266358,1.28936918,0.586082274,1.577010702,0.538130469
1.487388395,8.301422724,1.33770724,-2.876157451,-2.945997462,0.350039965,0.151512917,5.88169535,1.604662402,1.02112968,2.04786858
2.566863895,7.053250748,4.431756648,-1.534830707,1.897162991,2.624064741,1.454082207,7.177553676,4.513118592,-0.661386439,-1.286133507
2.144876955,6.323935971,3.370564895,0.06789296,3.443201636,3.271526723,1.716195654,7.355490442,1.450023183,-3.194137893,-2.35592402
2.488123613,5.82565784,5.000382768,1.125012546,3.753870053,4.848022566,1.9766067,4.716166696,1.642781783,0.91594272,-4.923207546
0.943169195,5.251697287,4.038849331,-1.511469955,0.957005229,4.028272602,2.683035986,2.673592929,-0.071152384,0.049529025,-8.667668098
-0.76832702,6.720221425,-0.291295045,-1.601438248,-1.319099456,2.467958846,-1.714158783,5.213427387,-3.038762533,-4.217635143,-9.90248865
-0.065952147,6.888287266,-0.310957528,-0.942888809,4.940920792,2.684811466,-1.303133928,5.924688048,-4.182081088,-4.843109798,-9.516057887
-0.321136167,3.195731446,-0.134333403,-2.312592155,2.814678857,2.725094574,0.622166866,-0.429947461,0.216090982,-3.468839537,-6.439411842
-1.037954275,3.046826532,-3.10232414,-5.437214093,4.799187339,-2.955553201,2.680082471,3.894476365,-1.640414798,-2.936900034,-8.727709184
-1.863104471,-2.115933888,0.206189471,-6.498427495,1.45258001,-0.632895296,2.402241572,1.08648567,-2.698616575,-4.346979173,-7.48568901
-3.034015246,-5.001668945,-3.391705812,-7.417507853,1.249424257,-0.464765233,-0.92002601,2.431625722,-3.233960908,-4.781985418,-8.80958226
-3.379659212,-5.858824578,-4.986506142,-6.512986564,2.650629983,1.240181506,-5.300263405,1.538054526,-1.426182835,-7.456844276,-7.683850338
-2.960302316,-5.786066913,-6.236915496,-5.811690158,0.880200513,3.269342347,-4.933574448,1.051412669,-0.967355054,-4.541679077,-6.526697547
-3.70865519,-6.928261813,-7.234838906,-5.134679668,-0.58933174,2.630301845,-5.654175597,0.538841314,0.973182581,-6.198563359,-9.489026553
-2.078218423,-3.788763435,-3.086357475,-0.53742827,0.836634345,0.863219868,-1.285507882,-2.015525398,4.659466587,-8.318378081,-8.109544486
-2.699027534,-4.027816069,-5.576449576,-3.785314688,1.369405227,-1.85127298,-1.564429752,-3.040575046,6.012415133,-8.02875773,-6.497479864
-4.007131905,-2.824098123,-7.983946201,-4.031480099,-0.072304219,0.047783654,-5.920804481,-5.116041472,2.555237478,-8.047104398,-8.678561193
-4.696043532,-1.644263391,-11.59846882,-6.425452009,-2.934307356,0.251604846,-5.763192736,-3.152003868,0.607833182,-9.338674031,-6.963511145
-5.625163579,-0.025970023,-17.79613954,-9.69377714,-3.893137618,-2.393076604,-8.572488089,-3.54115866,2.932224002,-8.437760293,-4.830351818
-5.585244721,-3.513078989,-15.30989645,-8.161311818,-3.514338315,-1.793381172,-8.7882059,-3.314305903,2.727698107,-8.460010406,-5.725616366
-4.733920802,-3.104968837,-12.04050939,-5.65803267,1.518096397,-3.351800808,-9.797087679,-6.138593488,4.058714983,-7.630216236,-5.194810295
-2.878967324,-2.685897786,-9.95354489,-4.701049574,2.815881869,-0.539193395,-10.756537,-3.344499359,5.391751154,-2.786779676,-2.229804587
-0.673655594,-0.706476345,-5.487270076,-0.957379474,5.098927615,1.573100788,-12.51144983,0.011608104,8.743755969,-1.894819865,-0.60655283
0.003036569,-0.528972336,-3.483870115,-1.412155993,5.670621523,4.183856824,-11.58899406,0.308092782,9.174749709,-2.735828041,0.442865397
0.097984998,-2.095620398,-3.295923546,-4.978574315,5.553416461,4.526657306,-6.444837419,0.112227342,10.34146269,-2.819629018,0.080670877
-1.455979754,-4.889631737,-4.536952601,-6.122381272,4.556293299,3.695643398,-7.759707277,-2.019855824,7.609545048,-4.944557855,-0.148192719
-0.044304825,-3.044759059,1.094815882,-4.037572873,3.565949167,6.821870755,-7.91661577,-2.89532536,6.843710479,-3.756548199,2.881426724
0.335098423,-2.683701197,0.834706614,-1.832382717,4.088758957,6.247051196,-3.884913901,-2.452051274,6.965294195,-6.436417585,2.504639946
-0.195744974,-1.791562558,-2.902077231,-5.523111667,1.732410604,7.100106274,-3.022512808,-1.486772256,5.779960674,-5.84909974,4.00520897
1.167358109,-1.396879884,-2.981402229,-0.969938698,-0.019121104,7.994489334,-0.672610732,-0.498906327,6.044579685,-1.888153855,6.061524895
2.419807921,1.046173376,-3.992962645,1.58450164,0.081537653,9.419543149,-1.222272543,1.161864383,5.540649653,2.505317874,8.073726671
1.186481977,-1.86926323,-2.04504082,-1.162480724,-1.984799886,8.56451425,-4.205828879,2.914740093,6.45678599,0.78300832,4.413184655
-0.60514039,-0.681965974,-5.552828921,-3.153062754,-3.307244827,5.715071126,-4.96334733,-0.436157222,5.958174316,-1.526775376,1.896733066
0.38094389,-0.205471007,-3.242447955,-3.643152749,-2.878275352,7.917673773,-6.049815541,0.416237646,7.502854051,0.308166121,3.683669909
-0.661202084,-1.969174988,-2.466612851,-3.613799709,-3.432930177,6.378765918,-9.293041735,-0.200512313,5.921563856,-0.924410066,2.988131227
-0.377602991,-1.337056617,-1.664294458,-0.954924603,-0.588408296,7.364145128,-9.126055738,1.263012565,2.359330579,-1.222400298,0.130621826
0.685591755,-2.539255857,2.528644917,0.49101963,2.737297635,9.091054791,-8.866124465,1.754965758,3.194834916,0.087907556,-1.624427329
0.803470987,-3.059216079,0.499328392,4.12232318,3.940091234,8.497824,-11.89457041,1.613317521,0.892152917,5.00583751,-1.582378397
-1.141453245,-4.431663943,-3.251890239,1.32176803,3.535964767,6.919537281,-11.45861826,-1.948157237,-1.863940751,3.785848412,-4.023380506
